               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11526,            0.049138,            0.028175,           0.0029643,             0.03587,           0.0017405,          0.00034675,             0.10025,            0.038391,            0.026658,             0.00037,             0.00037,             0.09667
                   1,            0.095029,            0.049302,            0.025495,             0.11468,            0.098678,            0.043868,           0.0074067,             0.07809,            0.038469,            0.021431,          0.00074933,          0.00074933,            0.093249
                   2,            0.080035,            0.045629,            0.023912,             0.19963,             0.33082,             0.13352,            0.028457,            0.070396,            0.032577,            0.019005,            0.001126,            0.001126,            0.089826
                   3,            0.073392,            0.036729,            0.020599,             0.43912,             0.53199,             0.45232,             0.11983,            0.059196,             0.02854,            0.011989,            0.001498,            0.001498,            0.086398
                   4,            0.069114,            0.035562,            0.013061,             0.41975,             0.53234,             0.42234,             0.10864,            0.059817,            0.026633,           0.0066641,           0.0018633,           0.0018633,            0.082963
                   5,            0.066261,            0.033784,           0.0075552,             0.52652,             0.53841,             0.53102,             0.14136,             0.05795,            0.027541,           0.0035053,             0.00222,             0.00222,             0.07952
                   6,            0.062143,            0.031545,           0.0058115,             0.55867,             0.67047,             0.59809,             0.18972,            0.055414,            0.025073,           0.0029708,           0.0025663,           0.0025663,            0.076066
                   7,            0.060922,            0.033487,           0.0045559,             0.55445,             0.63622,             0.56486,             0.16185,            0.057607,            0.024705,           0.0026064,           0.0029002,           0.0029002,              0.0726
                   8,            0.059668,            0.035504,           0.0040309,             0.56386,              0.5935,             0.54367,             0.15174,            0.061381,            0.025028,           0.0019322,           0.0032202,           0.0032202,             0.06912
                   9,            0.056386,            0.033368,           0.0035296,             0.67965,             0.68682,             0.66238,               0.247,            0.049027,            0.025816,           0.0043597,           0.0035245,           0.0035245,            0.065625
                  10,            0.054833,            0.031673,           0.0033147,             0.63206,             0.76506,             0.64002,             0.24316,            0.046125,             0.02717,            0.001933,           0.0038116,           0.0038116,            0.062112
                  11,            0.052438,             0.03236,           0.0030368,             0.80981,             0.72079,             0.77109,             0.29142,            0.044714,            0.025635,           0.0027524,           0.0040801,           0.0040801,             0.05858
                  12,            0.050857,            0.029196,           0.0030773,             0.74728,             0.73489,             0.72105,             0.27967,            0.046786,            0.026185,           0.0020937,           0.0043287,           0.0043287,            0.055029
                  13,            0.058559,            0.032578,           0.0033014,             0.61118,             0.75783,             0.68036,             0.20359,            0.047781,            0.024661,           0.0019331,           0.0045562,           0.0045562,            0.051456
                  14,            0.057805,            0.031756,           0.0030857,             0.77886,             0.75938,             0.77001,             0.26193,            0.044827,            0.024313,           0.0022862,           0.0047616,           0.0047616,            0.047862
                  15,            0.054496,            0.028708,           0.0029024,             0.70266,              0.6945,             0.68082,             0.20071,            0.050118,            0.025167,           0.0026853,            0.004944,            0.004944,            0.044244
                  16,            0.053299,             0.02865,           0.0027655,             0.81375,             0.79261,             0.80479,             0.29517,            0.045087,            0.023826,           0.0023646,           0.0051027,           0.0051027,            0.040603
                  17,            0.050276,            0.028079,           0.0025453,             0.74539,             0.76764,             0.74114,             0.28656,            0.045835,             0.02421,           0.0018591,           0.0052372,           0.0052372,            0.036937
                  18,            0.050165,            0.030722,           0.0025072,             0.78173,             0.78773,             0.74473,             0.28587,            0.045087,            0.025199,           0.0016974,           0.0053469,           0.0053469,            0.033247
                  19,            0.047825,            0.027532,           0.0023237,             0.83224,             0.82805,             0.84493,             0.34635,            0.041168,            0.023804,           0.0015592,           0.0054318,           0.0054318,            0.029532
