               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11817,             0.04852,            0.028585,             0.00119,            0.014252,          0.00063175,          0.00012876,              0.1067,            0.032537,            0.028025,             0.00018,             0.00018,             0.09838
                   1,             0.10391,            0.050645,            0.026533,            0.017793,            0.075468,           0.0070507,           0.0013178,            0.089891,             0.03483,            0.023995,          0.00036992,          0.00036992,             0.09667
                   2,             0.09024,            0.046078,            0.024781,            0.073838,            0.095498,            0.032916,           0.0059703,            0.077224,            0.033048,            0.020391,           0.0005595,           0.0005595,             0.09496
                   3,            0.081455,            0.045291,            0.023735,             0.14568,              0.2122,             0.10924,            0.021254,            0.072562,            0.032288,            0.018724,           0.0007485,           0.0007485,            0.093249
                   4,            0.077018,            0.036487,            0.022248,             0.38044,             0.36251,             0.32119,            0.078537,            0.067082,            0.026637,            0.016113,          0.00093666,          0.00093666,            0.091537
                   5,            0.076998,            0.038398,            0.018817,             0.37318,             0.56544,             0.39206,            0.095697,            0.060822,            0.024901,            0.010343,           0.0011237,           0.0011237,            0.089824
                   6,            0.073714,            0.035458,            0.012527,             0.38685,             0.58693,             0.40709,            0.098218,            0.059566,            0.022769,           0.0056689,           0.0013095,           0.0013095,            0.088109
                   7,            0.071894,             0.03639,           0.0089247,             0.37056,             0.58385,             0.39982,            0.090891,            0.060971,            0.021837,           0.0055464,           0.0014936,           0.0014936,            0.086394
                   8,            0.070661,            0.035935,           0.0072086,             0.40767,             0.58268,             0.38235,            0.078383,            0.062018,            0.021698,           0.0035036,            0.001676,            0.001676,            0.084676
                   9,            0.067151,            0.028941,           0.0053819,             0.61565,              0.6677,             0.66325,              0.2304,            0.050874,             0.02181,            0.002677,           0.0018562,           0.0018562,            0.082956
                  10,            0.063695,            0.028733,           0.0045071,             0.59594,             0.62673,             0.58379,             0.16623,            0.053787,            0.020929,           0.0027911,           0.0020342,           0.0020342,            0.081234
                  11,            0.065523,             0.03774,           0.0045324,             0.46832,             0.60075,             0.50948,             0.14501,            0.055131,            0.023127,           0.0019732,           0.0022096,           0.0022096,             0.07951
                  12,            0.060856,            0.031133,           0.0039931,             0.50494,             0.61518,             0.56079,             0.18007,            0.056403,            0.021203,           0.0018023,           0.0023823,           0.0023823,            0.077782
                  13,            0.062808,            0.036668,           0.0039951,             0.67805,             0.64324,             0.63582,             0.24645,            0.052238,            0.023591,           0.0020103,           0.0025519,           0.0025519,            0.076052
                  14,            0.060533,            0.036461,            0.003822,             0.56322,              0.6746,             0.60066,             0.21625,            0.050593,            0.020841,           0.0022245,           0.0027184,           0.0027184,            0.074318
                  15,            0.057788,             0.03157,           0.0034723,             0.61664,             0.68016,             0.63267,             0.23084,            0.050865,            0.021831,           0.0022792,           0.0028814,           0.0028814,            0.072581
                  16,            0.058026,            0.031755,           0.0032532,             0.43496,             0.73794,             0.58599,             0.18827,            0.053063,            0.021336,           0.0025775,           0.0030408,           0.0030408,            0.070841
                  17,            0.057992,            0.037882,           0.0031351,             0.78863,             0.78771,              0.7834,             0.28388,            0.045006,            0.021143,           0.0021087,           0.0031963,           0.0031963,            0.069096
                  18,            0.053865,            0.033991,           0.0029269,             0.82034,             0.78724,              0.8111,             0.28511,            0.043862,            0.020088,            0.002026,           0.0033478,           0.0033478,            0.067348
                  19,            0.051411,             0.02401,           0.0023898,             0.77237,             0.77297,             0.76153,             0.25193,            0.046765,            0.019886,           0.0027181,           0.0034951,           0.0034951,            0.065595
                  20,            0.053384,            0.029101,           0.0026655,              0.7885,             0.70692,             0.75521,             0.29677,            0.045075,            0.019949,           0.0025033,           0.0036379,           0.0036379,            0.063838
                  21,            0.050392,            0.030499,           0.0024592,             0.79587,             0.75557,             0.76641,             0.29409,             0.04301,             0.01953,           0.0017861,           0.0037762,           0.0037762,            0.062076
                  22,             0.05271,            0.029402,            0.002347,             0.67997,              0.7324,             0.66942,             0.23029,             0.04908,            0.023367,           0.0018605,           0.0039097,           0.0039097,             0.06031
                  23,            0.048999,            0.028994,           0.0024925,             0.74856,             0.74152,             0.70399,             0.22834,            0.047776,            0.022143,           0.0017286,           0.0040384,           0.0040384,            0.058538
                  24,            0.050074,            0.032335,           0.0022921,             0.78297,             0.75547,             0.72812,             0.30495,            0.044996,            0.019918,           0.0015773,           0.0041619,           0.0041619,            0.056762
                  25,            0.050066,            0.024857,           0.0021446,             0.78248,             0.75303,             0.73404,             0.28459,            0.044097,            0.022426,           0.0016689,           0.0042802,           0.0042802,             0.05498
                  26,            0.046775,             0.03056,           0.0020504,             0.78271,             0.75566,             0.74334,             0.25949,            0.042688,            0.022154,           0.0018169,           0.0043932,           0.0043932,            0.053193
                  27,            0.048291,            0.025489,            0.002173,             0.77123,             0.76861,             0.72171,             0.26404,            0.046635,            0.022092,           0.0020306,           0.0045007,           0.0045007,            0.051401
                  28,            0.045706,            0.024688,           0.0021858,             0.79313,             0.74711,             0.72694,             0.30903,            0.042922,            0.021433,           0.0014961,           0.0046026,           0.0046026,            0.049603
                  29,            0.045109,            0.021172,            0.001827,             0.82992,             0.76115,              0.7874,             0.27893,            0.042764,            0.020769,           0.0025185,           0.0046988,           0.0046988,            0.047799
                  30,            0.045245,            0.026903,           0.0017701,             0.86687,             0.82957,             0.86254,             0.33919,            0.040354,            0.018631,           0.0016308,           0.0047893,           0.0047893,            0.045989
                  31,            0.045189,            0.027644,           0.0021329,             0.72916,             0.71188,              0.6741,             0.26841,            0.047031,            0.021664,           0.0032811,           0.0048738,           0.0048738,            0.044174
                  32,            0.045135,            0.028949,            0.001758,             0.79321,             0.75712,             0.73166,             0.30888,            0.044691,            0.022252,           0.0016587,           0.0049524,           0.0049524,            0.042352
                  33,            0.042918,            0.025384,           0.0019248,             0.82218,             0.81119,              0.7827,             0.34247,            0.041576,            0.021316,           0.0017607,            0.005025,            0.005025,            0.040525
                  34,            0.042563,            0.026019,           0.0019675,             0.82296,             0.79406,             0.80172,              0.3334,            0.039867,            0.019848,           0.0018094,           0.0050915,           0.0050915,            0.038691
                  35,            0.042783,            0.019814,           0.0016265,             0.77796,             0.77781,             0.74475,             0.28613,            0.041509,            0.021383,           0.0015251,           0.0051518,           0.0051518,            0.036852
                  36,            0.039987,            0.023958,           0.0016045,             0.75486,             0.73444,             0.70139,             0.29449,            0.044228,            0.023142,           0.0013747,            0.005206,            0.005206,            0.035006
